"","UBIDPTO","REGION","ZONA","OCU","INFORM","SEXO","GEDUC","AEDUC","AEDAD","AEDAD2","WS","LWS"
"637","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",16,48,2304,3947.21045434757,8.28076439431931
"638","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",6,54,2916,340.659993978087,5.83088489475524
"639","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",3,60,3600,119.575244184731,4.78394583166949
"640","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",11,29,841,119.575244184731,4.78394583166949
"641","13","Costa","Urbana","Ocupado","Informal","Femenino","Primaria",6,64,4096,8.82191055733379,2.17723846303849
"642","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",1,55,3025,418.484587546914,6.03664006140648
"643","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",8,58,3364,388.319886312422,5.96182944921049
"644","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",9,33,1089,119.575244184731,4.78394583166949
"645","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",7,43,1849,418.542121746201,6.03677753419854
"646","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",1,49,2401,48.1369467367561,3.87405000568118
"647","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. No Univ.",14,48,2304,349.175055472557,5.85557338805932
"648","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",2,45,2025,360.377780639838,5.88715287189089
"649","13","Costa","Urbana","Ocupado","Informal","Femenino","Primaria",6,44,1936,81.3725358581897,4.39903781875768
"650","13","Costa","Urbana","Ocupado","Informal","Femenino","Primaria",6,43,1849,262.758688143544,5.57123607540846
"651","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",5,36,1296,249.103904846106,5.51787009796264
"652","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. No Univ.",14,28,784,577.566648575357,6.35882384452536
"653","13","Costa","Urbana","Ocupado","Formal","Femenino","Secundaria",11,26,676,290.988801927012,5.67328478508059
"654","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",11,25,625,390.503788627023,5.96743767122249
"655","13","Costa","Urbana","Ocupado","Formal","Femenino","Secundaria",11,23,529,315.766863753263,5.75500416836582
"656","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. Univ.",16,27,729,186.027244361169,5.22589313804683
"657","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,51,2601,255.777871963393,5.54430938017775
"658","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",6,47,2209,48.8273571281996,3.8882907526727
"659","13","Sierra","Rural","Ocupado","Informal","Masculino","Secundaria",11,39,1521,141.840979308784,4.95470656606237
"660","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",5,42,1764,62.7698114220728,4.13947424805653
"661","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,43,1849,123.238254872667,4.81411951323116
"662","13","Sierra","Rural","Ocupado","Informal","Masculino","Secundaria",11,35,1225,197.649152617135,5.28649350244352
"663","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",3,34,1156,503.424243760896,6.22143324157512
"664","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",2,64,4096,69.7698056686529,4.24520133263342
"665","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",4,37,1369,13.7123174967253,2.61829451624936
"666","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",5,44,1936,148.942454368788,5.00356001905627
"667","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",2,78,6084,89.4536935997039,4.493721101441
"668","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",0,56,3136,30.2246326920827,3.40865724397318
"669","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",6,37,1369,69.7506276022239,4.24492641854234
"670","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. No Univ.",14,36,1296,369.791476883718,5.91293927077968
"671","13","Costa","Urbana","Ocupado","Informal","Femenino","Primaria",6,44,1936,223.232693233403,5.40821469484078
"672","13","Costa","Urbana","Ocupado","Informal","Femenino","Secundaria",11,23,529,212.186126970307,5.35746384689995
